action,id,report_number,object_class,time,x,y,speed,nextx,nexty
newpoint,152,1,0,0,21252,16250,132,20952,16313
newpoint,153,1,1,0,11776,16756,448,11799,16757
newpoint,154,1,1,0,14773,12262,298,14795,12302
newpoint,155,1,1,0,8658,13646,298,8933,13579
newpoint,156,1,2,0,4996,20133,252.25,4986,20042
newpoint,157,1,1,0,13391,7632,132,13577,7613
newpoint,158,1,1,0,6152,22515,298,6181,22478
newpoint,159,1,1,0,12984,26479,298,12919,26463
newpoint,160,1,4,0,13472,27526,63.0625,13245,27662
newpoint,161,1,2,0,14176,10714,252.25,14260,10517
newpoint,162,1,0,0,12831,26173,298,12750,26001
newpoint,163,1,0,0,14597,25663,198,14682,25668
newpoint,164,1,3,0,3257,19910,126.125,3258,19967
newpoint,165,1,0,0,11468,8497,198,11310,8463
newpoint,166,1,0,0,5729,16999,298,5906,17042
newpoint,167,1,3,0,12758,7676,126.125,12758,7765
newpoint,168,1,0,0,4232,13922,198,4068,13820
newpoint,169,1,1,0,12790,21165,198,12819,21153
newpoint,170,1,0,0,11435,13498,298,11338,13542
newpoint,171,1,0,0,9867,20530,298,10123,20526
newpoint,172,1,2,0,8758,23610,252.25,8536,23561
newpoint,173,1,0,0,11003,13943,672,10986,13767
newpoint,174,1,2,0,16439,18060,132,16483,18502
newpoint,175,1,2,0,18774,12528,132,18419,12674
newpoint,176,1,0,0,15443,22604,298,15356,22564
newpoint,177,1,2,0,11381,4784,252.25,11391,4817
newpoint,178,1,1,0,9681,9281,298,9706,9398
newpoint,179,1,0,0,11931,9389,448,11889,9372
newpoint,180,1,1,0,11052,5971,198,11004,5991
newpoint,181,1,1,0,13092,27093,198,13135,27104
newpoint,182,1,1,0,17340,8260,132,17142,8600
newpoint,183,1,1,0,13227,30721,504.5,13201,30741
newpoint,184,1,0,0,13378,16200,672,13337,16220
newpoint,185,1,0,0,14680,24674,448,14677,24530
newpoint,186,1,0,0,15458,20432,298,15303,20544
newpoint,187,1,0,0,15147,5675,132,15011,5683
newpoint,188,1,2,0,15493,22496,198,15443,22604
newpoint,189,1,1,0,10654,13765,298,10723,13816
newpoint,190,1,1,0,12607,15657,298,13170,15756
newpoint,191,1,0,0,11653,20442,298,11661,20361
newpoint,192,1,5,0,15476,14016,31.53125,15510,14031
newpoint,193,1,0,0,13615,6832,298,13425,6777
newpoint,194,1,0,0,11757,19709,298,11841,19530
newpoint,195,1,0,0,11008,17993,88,10995,18018
newpoint,196,1,0,0,11842,14505,298,11824,14601
newpoint,197,1,0,0,6483,17923,672,6506,17925
newpoint,198,1,0,0,8878,11545,298,8810,11440
newpoint,199,1,5,0,10658,4825,31.53125,10594,4925
newpoint,200,1,0,0,7429,18924,448,7631,19221
newpoint,201,1,0,0,12118,18114,448,12081,18097
newpoint,202,1,2,0,8954,12305,252.25,9029,12434
newpoint,203,1,0,0,3310,20041,298,3617,20473
newpoint,204,1,3,0,10974,17897,126.125,10955,17941
newpoint,205,1,5,0,15375,29785,31.53125,15508,29730
newpoint,206,1,0,0,9654,16116,298,9731,16096
newpoint,207,1,0,0,18576,17027,132,18562,16983
newpoint,208,1,3,0,9827,13759,126.125,9837,13778
newpoint,209,1,2,0,15165,8464,198,14958,8366
newpoint,210,1,2,0,14880,19399,252.25,14737,19365
newpoint,211,1,1,0,20502,19985,132,20476,19819
newpoint,212,1,0,0,8675,12477,298,8954,12305
newpoint,213,1,0,0,16415,12674,298,16410,12805
newpoint,214,1,1,0,11557,18293,88,11558,18307
newpoint,215,1,3,0,17924,11350,126.125,17794,11404
newpoint,216,1,2,0,18348,10271,132,18435,10412
newpoint,217,1,0,0,11339,23616,298,11494,23686
newpoint,218,1,1,0,13471,27383,198,13454,27356
newpoint,219,1,0,0,14698,26760,448,14733,27153
newpoint,220,1,1,0,12242,23407,198,12099,23315
newpoint,221,1,0,0,6712,21862,298,6534,21555
newpoint,222,1,1,0,9796,14690,448,9786,14643
newpoint,223,1,0,0,7715,20794,298,7721,20840
newpoint,224,1,0,0,14337,10320,298,14260,10517
newpoint,225,1,0,0,9643,17262,298,9789,17264
newpoint,226,1,1,0,13017,8221,448,13305,8242
newpoint,227,1,2,0,12799,12288,252.25,12668,12267
newpoint,228,1,0,0,4422,16094,298,4441,16014
newpoint,229,1,2,0,11042,7561,252.25,10594,7110
newpoint,230,1,0,0,10205,14609,448,10258,14607
newpoint,231,1,2,0,12369,21160,252.25,12388,21150
newpoint,232,1,2,0,3975,18378,198,4064,18381
newpoint,233,1,0,0,7831,17911,672,7738,17965
newpoint,234,1,0,0,7932,22606,198,7948,22595
newpoint,235,1,0,0,11180,24795,298,11197,24774
newpoint,236,1,0,0,13770,16243,298,13749,16113
newpoint,237,1,4,0,8254,16450,63.0625,8155,16572
newpoint,238,1,0,0,11345,17707,198,11306,17613
newpoint,239,1,0,0,15731,6063,298,15705,6260
newpoint,240,1,0,0,4232,13922,198,4068,13820
newpoint,241,1,1,0,17671,9810,132,17565,10004
newpoint,242,1,3,0,2484,17673,126.125,2517,17807
newpoint,243,1,1,0,14255,21725,298,14318,21691
newpoint,244,1,0,0,15820,28853,198,15853,28853
newpoint,245,1,0,0,18246,21630,132,17877,22027
newpoint,246,1,0,0,6206,16057,298,6588,16045
newpoint,247,1,1,0,9196,8077,298,9300,8163
newpoint,248,1,2,0,10006,5378,198,9899,5335
newpoint,249,1,1,0,9654,16116,298,9731,16096
newpoint,250,1,0,0,12694,13133,298,12650,13262
newpoint,251,1,1,0,13275,14322,298,13194,14198
newpoint,252,1,1,0,16431,28743,198,16615,28657
newpoint,253,1,0,0,15755,22665,298,15658,22701
newpoint,254,1,0,0,11645,14439,298,11620,14455
newpoint,255,1,3,0,15454,13181,126.125,15348,13347
newpoint,256,1,3,0,16800,13876,126.125,16212,14068
newpoint,257,1,1,0,14972,19143,298,15060,19196
newpoint,258,1,0,0,7601,23589,298,7601,23530
newpoint,259,1,1,0,2636,19164,298,2741,19164
newpoint,260,1,1,0,11627,11915,448,11757,12158
newpoint,261,1,1,0,12253,26346,298,12229,26315
newpoint,262,1,0,0,3398,18801,298,3661,18898
newpoint,263,1,1,0,11877,20379,298,11823,20094
newpoint,264,1,3,0,16381,13140,126.125,16439,13189
newpoint,265,1,1,0,11003,13943,504.5,11021,14078
newpoint,266,1,1,0,9149,24156,298,9168,24151
newpoint,267,1,0,0,15935,7187,298,15607,7318
newpoint,268,1,1,0,18690,13547,132,18661,13432
newpoint,269,1,2,0,12022,16399,252.25,11890,16465
newpoint,270,1,2,0,5976,21153,252.25,6002,21267
newpoint,271,1,1,0,14669,19633,298,14685,19745
newpoint,272,1,0,0,6679,15650,672,7073,15982
newpoint,273,1,0,0,16798,22686,298,16672,22584
newpoint,274,1,1,0,12975,13445,504.5,13099,13212
newpoint,275,1,2,0,6715,21431,252.25,6681,21451
newpoint,276,1,3,0,20435,19558,126.125,20473,19490
newpoint,277,1,3,0,12422,15799,126.125,12389,15953
newpoint,278,1,3,0,14108,10694,126.125,14118,10690
newpoint,279,1,0,0,19894,12350,298,19989,12220
newpoint,280,1,0,0,11415,23364,298,11420,23407
newpoint,281,1,5,0,11938,18816,31.53125,11961,18858
newpoint,282,1,0,0,11626,5423,198,11800,5534
newpoint,283,1,1,0,13297,14116,448,13194,14198
newpoint,284,1,2,0,11235,11190,252.25,11276,11265
newpoint,285,1,0,0,14818,9441,198,14772,9503
newpoint,286,1,0,0,10577,4322,298,10565,4344
newpoint,287,1,1,0,16193,10413,298,16066,10313
newpoint,288,1,0,0,8793,7949,298,8669,7869
newpoint,289,1,3,0,8727,10405,126.125,8800,10533
newpoint,290,1,0,0,8642,8525,298,8650,8531
newpoint,291,1,2,0,10359,19845,252.25,10359,19726
newpoint,292,1,2,0,10923,27825,252.25,10692,27851
newpoint,293,1,2,0,3226,23616,132,4496,23044
newpoint,294,1,1,0,7984,8338,298,8189,8497
newpoint,295,1,1,0,20705,10965,132,20695,11013
newpoint,296,1,5,0,13944,20073,31.53125,13881,19995
newpoint,297,1,1,0,10280,9753,298,10281,9798
newpoint,298,1,0,0,10817,19605,298,10804,19554
newpoint,299,1,0,0,11623,18388,88,11548,18431
newpoint,300,1,0,0,13000,18506,672,12871,18492
newpoint,301,1,2,0,18658,16788,132,18581,16896
newpoint,302,1,0,0,15308,15528,298,15283,15408
newpoint,303,1,0,0,15072,6344,132,15429,6540
newpoint,304,1,0,0,7740,14604,298,7812,14589
newpoint,305,1,1,0,11164,28988,132,11143,28934
newpoint,306,1,0,0,13415,16089,298,13342,16181
newpoint,307,1,0,0,11635,19437,298,11841,19530
newpoint,308,1,0,0,14827,12018,298,14774,11913
newpoint,309,1,1,0,10868,5746,298,10883,5673
newpoint,310,1,0,0,15026,20796,298,15046,20664
newpoint,311,1,2,0,11233,27867,252.25,11308,27905
newpoint,312,1,0,0,15926,21601,672,15765,21537
newpoint,313,1,3,0,15949,7729,126.125,15674,7837
newpoint,314,1,0,0,11512,10996,298,11505,10961
newpoint,315,1,0,0,12054,19531,298,11995,19359
newpoint,316,1,1,0,11905,28288,298,11813,28261
newpoint,317,1,2,0,12894,18873,252.25,12713,19239
newpoint,318,1,3,0,15469,11586,126.125,15692,11591
newpoint,319,1,1,0,8933,13579,448,8838,13424
newpoint,320,1,0,0,7601,23589,298,7601,23530
newpoint,321,1,0,0,15609,22228,198,15570,22311
newpoint,322,1,0,0,20476,19819,132,20439,19587
newpoint,323,1,1,0,7548,20093,298,7646,20142
newpoint,324,1,0,0,13375,28095,298,13258,27947
newpoint,325,1,1,0,4575,17233,198,4828,17320
newpoint,326,1,1,0,13305,9681,132,13245,10007
newpoint,327,1,5,0,13449,14210,31.53125,13452,14244
newpoint,328,1,1,0,5365,17380,298,5503,17405
newpoint,329,1,0,0,9867,20530,298,10123,20526
newpoint,330,1,0,0,13774,20077,298,13595,19997
newpoint,331,1,0,0,11602,16424,198,11619,16424
newpoint,332,1,0,0,5597,22487,132,5524,22095
newpoint,333,1,0,0,7336,17365,298,7357,17386
newpoint,334,1,3,0,13494,16872,126.125,13262,16822
newpoint,335,1,0,0,17390,12136,298,17229,12092
newpoint,336,1,0,0,8255,13151,298,8249,13142
newpoint,337,1,1,0,12907,26272,298,13014,26218
newpoint,338,1,1,0,11405,16180,198,11394,16124
newpoint,339,1,0,0,8409,15843,298,8439,15887
newpoint,340,1,0,0,17924,11350,448,17794,11404
newpoint,341,1,3,0,5020,17981,126.125,5079,18012
newpoint,342,1,3,0,6398,19803,126.125,6560,19800
newpoint,343,1,0,0,16022,27902,298,16048,27961
newpoint,344,1,0,0,5041,18619,298,5264,18505
newpoint,345,1,0,0,15655,6243,132,15705,6260
newpoint,346,1,2,0,10708,26315,252.25,10496,26326
newpoint,347,1,1,0,11472,29502,132,11429,29410
newpoint,348,1,2,0,15159,15639,252.25,15229,15624
newpoint,349,1,0,0,4946,11007,298,4926,10958
newpoint,350,1,1,0,11666,23276,504.5,11906,22694
newpoint,351,1,0,0,7535,21238,198,7487,21108
newpoint,352,1,0,0,7967,18023,298,8035,18023
newpoint,353,1,1,0,17237,23201,298,17100,23035
newpoint,354,1,1,0,12599,15202,298,12596,15239
newpoint,355,1,1,0,12749,14406,448,12633,14377
newpoint,356,1,0,0,13490,19502,298,13465,19572
newpoint,357,1,0,0,4809,10750,298,4785,10773
newpoint,358,1,0,0,10730,11391,298,10786,11470
newpoint,359,1,1,0,14972,12649,298,14931,12554
newpoint,360,1,1,0,9940,6003,298,9924,6974
newpoint,361,1,2,0,2642,19385,252.25,2667,19366
newpoint,362,1,0,0,7065,17822,298,7026,17983
newpoint,363,1,0,0,11856,18763,198,11666,18650
newpoint,364,1,1,0,4946,11007,298,4926,10958
newpoint,365,1,1,0,8585,13777,298,8596,13777
newpoint,366,1,1,0,5405,15132,298,5889,15273
newpoint,367,1,0,0,11289,27061,298,11029,26726
newpoint,368,1,1,0,9921,4577,298,10086,4660
newpoint,369,1,1,0,8398,13756,298,8336,13609
newpoint,370,1,0,0,6917,19814,298,7005,19793
newpoint,371,1,0,0,19134,16605,132,18979,16668
newpoint,372,1,0,0,13947,13509,448,14030,13410
newpoint,373,1,1,0,3524,19989,298,3310,20041
newpoint,374,1,0,0,9622,20025,298,9623,19998
newpoint,375,1,1,0,11071,18132,88,11098,18059
newpoint,376,1,0,0,14089,10700,298,14108,10694
newpoint,377,1,0,0,10534,21858,298,10598,21750
newpoint,378,1,1,0,9221,10056,298,9167,10111
newpoint,379,1,0,0,3056,16341,298,3013,16261
newpoint,380,1,0,0,12841,13161,298,13099,13212
newpoint,381,1,2,0,13845,27274,252.25,13759,27082
newpoint,382,1,0,0,12376,23310,298,12793,23741
newpoint,383,1,0,0,13727,18777,132,13717,18783
newpoint,384,1,5,0,10792,15154,31.53125,10829,15343
newpoint,385,1,1,0,9549,21771,298,9619,21771
newpoint,386,1,0,0,15330,18095,132,15640,18040
newpoint,387,1,0,0,14795,12302,298,14773,12262
newpoint,388,1,2,0,9971,14902,252.25,10068,14912
newpoint,389,1,0,0,11055,13521,298,10973,13545
newpoint,390,1,0,0,9679,11145,298,9836,11388
newpoint,391,1,0,0,19642,22904,132,19632,22850
newpoint,392,1,2,0,11691,5865,252.25,11637,5945
newpoint,393,1,1,0,7870,23154,298,8187,23308
newpoint,394,1,0,0,7868,19924,298,7987,19924
newpoint,395,1,2,0,13149,13428,252.25,13250,13438
newpoint,396,1,0,0,9128,23613,672,9010,23682
newpoint,397,1,0,0,19854,16718,132,19903,17446
newpoint,398,1,0,0,14075,9555,298,14174,9354
newpoint,399,1,0,0,11809,18359,88,11916,18317
newpoint,400,1,0,0,11791,21416,672,11945,21525
newpoint,401,1,2,0,19744,11705,252.25,19502,11676
newpoint,402,1,2,0,8624,20819,252.25,8415,20760
newpoint,403,1,0,0,8793,7949,298,8669,7869
newpoint,404,1,1,0,13553,5074,504.5,13461,5489
newpoint,405,1,0,0,5628,15033,298,5594,15042
newpoint,406,1,0,0,8902,20123,298,8940,20123
newpoint,407,1,0,0,4265,18629,298,4265,18516
newpoint,408,1,2,0,12768,10967,252.25,12734,10969
newpoint,409,1,1,0,14924,13318,298,15000,13236
newpoint,410,1,1,0,9456,19714,504.5,9286,19713
newpoint,411,1,0,0,20712,16175,132,20667,16173
newpoint,412,1,0,0,10054,4973,198,10079,4811
newpoint,413,1,0,0,9094,21812,198,8997,22022
newpoint,414,1,0,0,15610,10086,132,15601,10008
newpoint,415,1,3,0,5398,18638,126.125,5330,18465
newpoint,416,1,1,0,9724,21092,298,9735,21107
newpoint,417,1,1,0,21336,17642,132,21029,17718
newpoint,418,1,0,0,4046,17224,198,3990,17484
newpoint,419,1,1,0,8237,7743,298,8224,7745
newpoint,420,1,0,0,12853,20870,298,12950,20874
newpoint,421,1,0,0,9622,20025,298,9623,19998
newpoint,422,1,1,0,11602,27897,298,11694,27916
newpoint,423,1,1,0,10432,13896,298,10481,13852
newpoint,424,1,0,0,7973,17973,298,7967,18023
newpoint,425,1,0,0,14063,21732,298,14094,21733
newpoint,426,1,0,0,6467,17253,298,6535,17287
newpoint,427,1,0,0,13717,27367,198,13845,27274
newpoint,428,1,3,0,10486,16118,126.125,10554,16113
newpoint,429,1,0,0,5594,15042,298,5577,15018
newpoint,430,1,4,0,8891,16749,63.0625,8798,16700
newpoint,431,1,5,0,11423,28024,31.53125,11589,28197
newpoint,432,1,2,0,13707,26410,252.25,13676,26349
newpoint,433,1,0,0,12006,7329,198,12010,7368
newpoint,434,1,0,0,12747,6792,132,12299,6812
newpoint,435,1,0,0,4956,18432,298,4969,18467
newpoint,436,1,1,0,13019,21100,298,13008,21174
newpoint,437,1,0,0,16652,12874,298,16613,12855
newpoint,438,1,3,0,6998,20165,126.125,6933,19976
newpoint,439,1,0,0,15820,28853,198,15853,28853
newpoint,440,1,0,0,12957,25688,298,13000,25824
newpoint,441,1,0,0,12109,13447,298,12053,13470
newpoint,442,1,2,0,11018,21993,252.25,11121,21848
newpoint,443,1,0,0,3812,14609,298,3827,14696
newpoint,444,1,0,0,15573,11844,298,15703,12062
newpoint,445,1,1,0,12171,25564,198,12355,25574
newpoint,446,1,5,0,13275,14322,31.53125,13194,14198
newpoint,447,1,0,0,15229,22486,198,15249,22561
newpoint,448,1,1,0,15779,11295,132,15911,11318
newpoint,449,1,1,0,12865,28328,448,12807,28333
newpoint,450,1,2,0,5165,19742,252.25,5361,19626
newpoint,451,1,1,0,9468,22408,198,9335,22344
newpoint,452,1,1,0,12023,8169,448,12323,8182
newpoint,453,1,3,0,14434,7066,126.125,13615,6832
newpoint,454,1,0,0,16194,21723,672,15926,21601
newpoint,455,1,0,0,8035,18023,298,8035,18066
newpoint,456,1,2,0,2097,19913,252.25,2306,19734
newpoint,457,1,1,0,10833,19382,448,11060,19328
newpoint,458,1,0,0,11606,13886,298,11551,13789
newpoint,459,1,2,0,11004,5991,198,10843,5913
newpoint,460,1,2,0,5327,15127,252.25,5371,15112
newpoint,461,1,1,0,7098,12522,298,7159,12506
newpoint,462,1,0,0,11999,18958,448,12116,18902
newpoint,463,1,3,0,13357,18042,126.125,13245,17967
newpoint,464,1,0,0,10973,14770,298,10879,14764
newpoint,465,1,0,0,12259,6767,298,11870,6341
newpoint,466,1,1,0,14082,18109,448,14032,18119
newpoint,467,1,0,0,15831,28886,198,15853,28853
newpoint,468,1,0,0,4802,19585,298,4807,19612
newpoint,469,1,1,0,13476,26571,198,13478,26513
newpoint,470,1,0,0,15307,8823,448,15223,8986
newpoint,471,1,1,0,7764,18525,298,7624,18719
newpoint,472,1,1,0,10780,13902,298,10796,13966
newpoint,473,1,5,0,15386,15390,31.53125,15361,15394
newpoint,474,1,0,0,11552,17495,448,11306,17613
newpoint,475,1,0,0,14772,9503,198,14707,9642
newpoint,476,1,2,0,9789,17264,252.25,9643,17262
newpoint,477,1,3,0,11233,27867,126.125,10923,27825
newpoint,478,1,1,0,16770,29001,298,16818,29127
newpoint,479,1,2,0,11462,24326,252.25,11705,23768
newpoint,480,1,2,0,8664,13474,252.25,8622,13448
newpoint,481,1,1,0,10598,21750,298,10625,21659
newpoint,482,1,4,0,15746,27596,63.0625,15795,27644
newpoint,483,1,0,0,14150,24568,198,13885,24552
newpoint,484,1,1,0,10890,11122,298,10889,11133
newpoint,485,1,3,0,13308,20551,126.125,13266,20534
newpoint,486,1,0,0,8957,22004,298,8893,22138
newpoint,487,1,1,0,12961,26782,298,12940,26762
newpoint,488,1,1,0,11147,28595,504.5,11321,28824
newpoint,489,1,0,0,16456,10854,298,16466,10946
newpoint,490,1,1,0,9149,24156,298,9168,24151
newpoint,491,1,3,0,11672,20242,126.125,11648,20118
newpoint,492,1,0,0,12549,21230,672,12474,21403
newpoint,493,1,1,0,6721,15439,132,6732,15390
newpoint,494,1,2,0,13332,27844,252.25,13283,27886
newpoint,495,1,0,0,11299,24716,298,11462,24326
newpoint,496,1,5,0,15653,8595,31.53125,15657,8699
newpoint,497,1,0,0,12617,17445,448,12245,17333
newpoint,498,1,0,0,10364,20772,448,10366,20524
newpoint,499,1,0,0,11705,30037,132,11759,30058
newpoint,500,1,0,0,10145,14172,298,10149,14130
newpoint,501,1,1,0,8378,18302,298,8704,18357
newpoint,502,1,0,0,11629,13938,298,11704,14103
newpoint,503,1,1,0,20763,21909,132,20665,21145
newpoint,504,1,1,0,10414,11574,298,10426,11594
newpoint,505,1,3,0,14434,11671,126.125,14264,11685
